layer_id,batch,tiles,status,cycles,energy_pj,mac_pj,buffer_pj,bus_pj,ubuf_pj,K,B,H,W
0,32,14,ok,516096,1717225873.0368001,49941577.727999993,1468682018.3168001,0,198602276.99200001,1,2,1,7
0,32,15,ok,483840,1727882439.8399999,50164531.199999996,1479345388.4159999,0,198372520.22400001,1,1,1,15
0,32,16,ok,451584,1716143859.2255998,49941577.727999993,1468433927.9743998,0,197768353.52320001,1,16,1,1
0,64,1,ok,14450688,3432019487.4047995,99883155.455999985,2936656069.5039997,0,395480262.44480002,1,1,1,1
0,64,2,ok,7225344,3432028140.0191994,99883155.455999985,2936662901.3247995,0,395482083.23840004,1,2,1,1
0,64,3,ok,4838400,3456176059.5263996,100329062.39999999,2959151118.1055994,0,396695879.02080005,1,1,1,3
0,64,4,ok,3612672,3432045445.2479997,99883155.455999985,2936676564.9663997,0,395485724.82560003,1,4,1,1
0,64,5,ok,2903040,3456183117.0240002,100329062.39999998,2959154534.0159998,0,396699520.60800004,1,1,1,5
0,64,6,ok,2419200,3456186645.7728004,100329062.39999999,2959156241.9712,0,396701341.4016,1,2,1,3
0,64,7,ok,2064384,3434270041.1712003,99883155.455999985,2937220568.3968,0,397166317.31840003,1,1,1,7
0,64,8,ok,1806336,3432080055.7055998,99883155.455999985,2936703892.2495999,0,395493008,1,8,1,1
0,64,9,ok,1612800,3455589484.7424006,100329062.39999999,2958553618.5600004,0,396706803.78240001,1,1,1,9
0,64,10,ok,1451520,3456200760.7680006,100329062.39999998,2959163073.7920003,0,396708624.57600003,1,2,1,5
0,64,11,ok,1354752,3539356352.1359997,103004504.064,3028494676.3895998,0,407857171.68240005,1,11,1,1
0,64,12,ok,1209600,3456207818.2655997,100329062.39999999,2959166489.7024002,0,396712266.16320002,1,4,1,3
0,64,13,ok,1128960,3485748488.0712004,101443829.75999999,2982623195.6924,0,401681462.61880004,1,13,1,1
0,64,14,ok,1032192,3434330609.4720001,99883155.455999985,2937268391.1424003,0,397179062.87360001,1,2,1,7
0,64,15,ok,967680,3455711948.4480004,100329062.39999999,2958665157.5040002,0,396717728.54400003,1,1,1,15
0,64,16,ok,903168,3432149276.6207995,99883155.455999985,2936758546.8159995,0,395507574.3488,1,16,1,1
1,1,1,ok,1806336,428454665.31840008,33294385.151999999,385448838.60480005,0,9711441.5615999997,1,1,1,1
1,1,2,ok,903168,428449630.61760008,33294385.151999999,385500450.81600004,0,9654794.6496000011,1,1,1,2
1,1,3,ok,604800,430622548.30080003,33443020.799999997,387534173.99040002,0,9645353.510400001,1,1,3,1
1,1,4,ok,451584,428690227.20000005,33294385.151999999,385663360.20480001,0,9732481.8432000019,1,1,2,2
1,1,5,ok,362880,430908163.19999999,33443020.799999997,387742101.69600004,0,9723040.7039999999,1,1,5,1
1,1,6,ok,302400,430832824.47360003,33443020.799999997,387536879.69279999,0,9852923.980800001,1,1,3,2
1,1,7,ok,258048,428662052.04480004,33294385.151999995,385609289.31840003,0,9758377.5744000003,1,1,7,1
1,1,8,ok,225792,429052460.23680001,33294385.151999999,385960853.91360003,0,9797221.1711999997,1,1,8,1
1,1,9,ok,201600,430939173.19679999,33443020.799999997,387617737.30559999,0,9878415.0911999997,1,1,9,1
1,1,10,ok,181440,430953871.10400009,33443020.799999997,387502551.93600005,0,10008298.368000001,1,1,5,2
1,1,11,ok,169344,442543569.17760009,34334834.687999994,397998530.26560003,0,10210204.224000001,1,1,11,1
1,1,12,ok,151200,431793596.62080002,33443020.799999997,388082510.89919996,0,10268064.921600003,1,1,3,4
1,1,13,ok,145152,448263483.03359997,34780741.631999999,403067799.01440001,0,10414942.3872,1,1,13,1
1,1,14,ok,129024,429504140.08319998,33294385.151999995,386179472.17919999,0,10030282.752,1,1,14,1
1,1,15,ok,120960,431660962.94399995,33443020.799999997,388106465.472,0,10111476.672,1,1,15,1
1,1,16,ok,112896,430014846.56639999,33294385.151999999,386612491.46880001,0,10107969.945600001,1,1,16,1
1,2,1,ok,3612672,856834050.66240013,66588770.303999998,770861240.83200014,0,19384039.5264,1,1,1,1
1,2,2,ok,1806336,856748701.28640008,66588770.303999998,770928028.87680006,0,19231902.105599999,1,1,1,2
1,2,3,ok,1209600,861019256.67839992,66886041.599999994,774959038.84800005,0,19174176.2304,1,1,3,1
1,2,4,ok,903168,856899261.23520017,66588770.303999998,771000901.63200009,0,19309589.299200002,1,2,1,2
1,2,5,ok,725760,861439926.52799988,66886041.599999994,775302021.50399995,0,19251863.424000002,1,1,5,1
1,2,6,ok,604800,861213969.10079992,66886041.599999994,774855141.11999989,0,19472786.380800001,1,1,3,2
1,2,7,ok,516096,856797144.26880002,66588770.30399999,770963523.99359989,0,19244849.971200004,1,1,7,1
1,2,8,ok,451584,857380454.4000001,66588770.303999998,771326720.40960002,0,19464963.686400004,1,2,2,2
1,2,9,ok,403200,861200826.62400007,66886041.599999994,774907547.21280003,0,19407237.8112,1,1,9,1
1,2,10,ok,362880,861154942.46399999,66886041.599999994,774640740.09599996,0,19628160.768000003,1,1,5,2
1,2,11,ok,338688,884259058.63680017,68669669.375999987,795596260.37760007,0,19993128.883200001,1,1,11,1
1,2,12,ok,302400,861665648.94720006,66886041.599999994,775073759.38559997,0,19705847.961600002,1,2,3,2
1,2,13,ok,290304,895548326.39999998,69561483.263999999,805661925.12,0,20324918.016000003,1,1,13,1
1,2,14,ok,258048,857324104.08960009,66588770.30399999,771218578.63680005,0,19516755.148800001,1,2,7,1
1,2,15,ok,241920,862192726.27199996,66886041.599999994,775666385.27999997,0,19640299.392000001,1,1,15,1
1,2,16,ok,225792,858104920.47360003,66588770.303999998,771921707.82720006,0,19594442.342399999,1,2,8,1
1,4,1,ok,7225344,1713091489.3824003,133177540.608,1541566675.3536003,0,38347273.4208,1,1,1,1
1,4,2,ok,3612672,1713166769.3568003,133177540.608,1541603111.7312002,0,38386117.0176,1,1,1,2
1,4,3,ok,2419200,1721199653.6831999,133772083.19999999,1549559907.5328002,0,37867662.95040001,1,1,1,3
1,4,4,ok,1806336,1713180175.5648003,133177540.608,1541780524.2368002,0,38222110.719999999,1,1,4,1
1,4,5,ok,1451520,1721340006.9120002,133772083.19999999,1548772869.8880002,0,38795053.824000001,1,1,1,5
1,4,6,ok,1209600,1721560548.5568001,133772083.19999999,1549804271.6159999,0,37984193.740800008,1,1,2,3
1,4,7,ok,1032192,1712591488.2048004,133177540.60799998,1541558693.0688002,0,37855254.528000005,1,1,1,7
1,4,8,ok,903168,1712846841.4464002,133177540.608,1541775202.7136002,0,37894098.124800004,1,1,1,8
1,4,9,ok,806400,1720841003.8271999,133772083.19999999,1548968196.0959997,0,38100724.531199999,1,1,1,9
1,4,10,ok,725760,1721557085.184,133772083.19999999,1548917116.4160001,0,38867885.568000004,1,1,2,5
1,4,11,ok,677376,1766704125.5424001,137339338.75199997,1590179678.2079999,0,39185108.582400009,1,1,1,11
1,4,12,ok,604800,1722012228.4032001,133772083.19999999,1550022889.8815999,0,38217255.321600005,1,1,3,4
1,4,13,ok,580608,1789620929.7407994,139122966.528,1610731819.0079997,0,39766144.204800002,1,1,1,13
1,4,14,ok,516096,1713118448.0256,133177540.60799998,1541813747.7119999,0,38127159.705600001,1,1,2,7
1,4,15,ok,483840,1721427738.6239996,133772083.19999999,1549321869.3119998,0,38333786.112000003,1,1,1,15
1,4,16,ok,451584,1713809227.776,133177540.608,1542426840.2688,0,38204846.899200007,1,1,2,8
1,8,1,ok,14450688,3426107698.7904005,266355081.21599999,3083096914.3296003,0,76655703.244800001,1,1,1,1
1,8,2,ok,7225344,3426182978.7648005,266355081.21599999,3083133350.7072005,0,76694546.841600001,1,1,1,2
1,8,3,ok,4838400,3442173467.4432006,267544166.39999998,3099010505.9328003,0,75618795.110400021,1,1,1,3
1,8,4,ok,3612672,3426059231.2320004,266355081.21599999,3083415302.9632001,0,76288847.0528,1,1,4,1
1,8,5,ok,2903040,3442303613.9520006,267544166.39999998,3097363557.8880005,0,77395889.664000005,1,1,1,5
1,8,6,ok,2419200,3442399307.3663998,267544166.39999998,3099119815.0656004,0,75735325.90080002,1,2,1,3
1,8,7,ok,2064384,3424656016.5888,266355081.21599996,3082862331.4944,0,75438603.878400013,1,1,1,7
1,8,8,ok,1806336,3425091443.0976005,266355081.21599999,3083258914.4064002,0,75477447.475199997,1,1,1,8
1,8,9,ok,1612800,3441004487.8848,267544166.39999998,3097608464.7936001,0,75851856.691200003,1,1,1,9
1,8,10,ok,1451520,3442361370.6239996,267544166.39999998,3097469869.0560002,0,77347335.168000013,1,1,2,5
1,8,11,ok,1354752,3532580171.3664002,274678677.50399995,3179958556.2623997,0,77942937.600000009,1,1,1,11
1,8,12,ok,1209600,3443121097.1136003,267544166.39999998,3099608543.2319999,0,75968387.481600016,1,2,2,3
1,8,13,ok,1161216,3578263219.8144002,278245933.05599999,3220989965.1072001,0,79027321.651199996,1,1,1,13
1,8,14,ok,1032192,3425182976.4096007,266355081.21599996,3083117386.1376004,0,75710509.056000009,1,2,1,7
1,8,15,ok,967680,3441726277.631999,267544166.39999998,3098097192.9599996,0,76084918.272,1,1,1,15
1,8,16,ok,903168,3425693682.8928003,266355081.21599999,3083550405.4272003,0,75788196.249600008,1,2,1,8
1,16,1,ok,28901376,6852140117.6064014,532710162.43199998,6166157392.281601,0,153272562.8928,1,1,1,1
1,16,2,ok,14450688,6852215397.580801,532710162.43199998,6166193828.6592007,0,153311406.4896,1,1,1,2
1,16,3,ok,9676800,6884121094.9631996,535088332.79999995,6197911702.7327995,0,151121059.43040001,1,1,1,3
1,16,4,ok,7225344,6851817342.5664005,532710162.43199998,6166684860.4160004,0,152422319.7184,1,1,4,1
1,16,5,ok,5806080,6884230828.0319996,535088332.79999995,6194544933.8880005,0,154597561.34400004,1,1,1,5
1,16,6,ok,4838400,6884346934.8864012,535088332.79999995,6198021011.8656006,0,151237590.22080004,1,2,1,3
1,16,7,ok,4128768,6848785073.3568001,532710162.43199992,6165469608.3456001,0,150605302.57920003,1,1,1,7
1,16,8,ok,3612672,6849580646.4000006,532710162.43199998,6166226337.7920008,0,150644146.176,1,1,1,8
1,16,9,ok,3225600,6881331456,535088332.79999995,6194889002.1887999,0,151354121.01120001,1,1,1,9
1,16,10,ok,2903040,6883969941.5040007,535088332.79999995,6194575374.3360004,0,154306234.368,1,1,2,5
1,16,11,ok,2709504,7064332263.0144005,549357355.0079999,6359516312.3712006,0,155458595.63520002,1,1,1,11
1,16,12,ok,2419200,6884798614.7327995,535088332.79999995,6198239630.1312008,0,151470651.80160004,1,4,1,3
1,16,13,ok,2322432,7155547799.9615993,556491866.11199999,6441506257.3055992,0,157549676.544,1,1,1,13
1,16,14,ok,2064384,6849312033.1775999,532710162.43199992,6165724662.9888,0,150877207.75680003,1,2,1,7
1,16,15,ok,1935360,6882323355.6479998,535088332.79999995,6195647840.2559996,0,151587182.59200001,1,1,1,15
1,16,16,ok,1806336,6850182886.1952009,532710162.43199998,6166517828.8128004,0,150954894.95039999,1,2,1,8
1,32,1,ok,57802752,13704204955.238403,1065420324.864,12332278348.185602,0,306506282.18880004,1,1,1,1
