network=transformer_official_same_source
source_ref=src/nns/transformer.cpp
mode=stage_level
input_blocks=8
scheduled_blocks=66
num_states=131
best_sub_batch=128
sct_solver=ortools-scip
met_solver=ortools-scip
compute_latency=0.041845
compute_energy=0.023764
memory_latency=0.250233
memory_energy=0.035703
latency=0.250233
energy=0.059467
edp=0.014881

states
  idx=0 name=S0 category=warmup active_pe=1 assigned_sub_batches=1 active_blocks=[0]
  idx=1 name=S1 category=warmup active_pe=2 assigned_sub_batches=0 active_blocks=[0, 1]
  idx=2 name=S2 category=warmup active_pe=3 assigned_sub_batches=0 active_blocks=[0, 1, 2]
  idx=3 name=S3 category=warmup active_pe=4 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3]
  idx=40 name=S40 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 38, 39, 40]
  idx=41 name=S41 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 39, 40, 41]
  idx=42 name=S42 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 40, 41, 42]
  idx=43 name=S43 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 41, 42, 43]
  idx=44 name=S44 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 42, 43, 44]
  idx=45 name=S45 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 43, 44, 45]
  idx=46 name=S46 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 44, 45, 46]
  idx=47 name=S47 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 45, 46, 47]
  idx=48 name=S48 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 46, 47, 48]
  idx=49 name=S49 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 47, 48, 49]
